Немецкий термин	Русский перевод	Использование имплантанта
Aortenklappe Xenotransplantat: mediane Sternotomie	Ксенотрансплантация аортального клапана: срединная стернотомия	Да
Aortenklappe: Endovaskuläre Implantation ohne HLM	Аортальный клапан: эндоваскулярная имплантация без HLM	Да
Bypass 1-fach mit Aorten- und Mitralklappenersatz mit HLM und mediane Sternotomie	Одиночное шунтирование с заменой аортального и митрального клапанов с использованием HLM и срединной стернотомии	Да
Bypass 1-fach mit Aortenklappenersatz mit HLM und mediane Sternotomie	Шунтирование 1-кратное с заменой аортального клапана с HLM и срединной стернотомией	Да
Bypass 1-fach mit Aortenklappenersatz und Mitralklappenrekonstruktion mit HLM und mediane Sternotomie	Шунтирование 1-кратное с заменой аортального клапана и реконструкцией митрального клапана с HLM и срединной стернотомией	Да
Bypass 2-fach mit Aortenklappenersatz mit HLM und mediane Sternotomie	Шунтирование 2-кратное с заменой аортального клапана с HLM и срединной стернотомией	Да
Defibrillator: Implantation 1-Kammer-System ohne HLM	Дефибриллятор: имплантация 1-камерной системы без HLM	Да
Defibrillator: Implantation 2-Kammer-System ohne HLM	Дефибриллятор: имплантация 2-камерной системы без УЛМ	Да
Ersatz der Aorta ascendens infrakoronar mit klappentragender Gefäßprothese, biologisch mit HLM	Замещение восходящей аорты инфракоронарным сосудистым протезом с лоскутами, биологическим с HLM	Да
Ersatz der Aorta ascendens infrakoronar mit klappentragender Gefäßprothese, mechanisch mit HLM	Замещение восходящей аорты инфракоронарное с клапаносодержащим сосудистым протезом, механическое с HLM	Да
Ersatz der Aorta ascendens infrakoronar mit Rohrprothese und Reimplantation der Koronararterien mit HLM	Замещение восходящей аорты инфракоронарным трубчатым протезом и реимплантация коронарных артерий с HLM	Да
Ersatz der Aorta ascendens suprakoronar mit Aortenklappenersatz mit HLM	Замещение восходящей аорты супракоронарно с заменой аортального клапана с HLM	Да
IABP Implantation ohne HLM	Имплантация ИАБП без УЛМ	Да
Mitralklappe Allotransplantat: mediane Sternotomie	Аллотрансплантация митрального клапана: срединная стернотомия	Да
Mitralklappe Kunstprothese: minimalinvasiv	Протезирование митрального клапана: минимально инвазивное	Да
Mitralklappe Xenotransplantat: mediane Sternotomie	Ксенотрансплантат митрального клапана: срединная стернотомия	Да
Mitralklappe Xenotransplantat: minimalinvasiv	Ксенотрансплантация митрального клапана: минимально инвазивная	Да
Schrittmacher: Implantation 1-Kammer-System ohne HLM	Кардиостимулятор: имплантация 1-камерной системы без HLM	Да
Schrittmacher: Implantation 2-Kammer-System ohne HLM	Кардиостимулятор: имплантация 2-камерной системы без HLM	Да
Schrittmacher: Revision 2-Kammer-System ohne HLM	Кардиостимулятор: ревизионная 2-камерная система без HLM	Да
Ventrikelaneurysmaresektion mit HLM	Резекция аневризмы желудочка с применением HLM	Да
AKE + MKE: mediane Sternotomie	АКЭ + МКЭ: срединная стернотомия	Нет
AKE + MKR: mediane Sternotomie	АКЭ + МКР: срединная стернотомия	Нет
AKE + TKR: mediane Sternotomie	АКЭ + ТКР: срединная стернотомия	Нет
Aorten- ,Mitral- und Trikuspidalklappe: mediane Sternotomie	Аортальный, митральный и трехстворчатый клапаны: срединная стернотомия	Нет
Bypass 1-fach mit anderen Operationen: ohne HLM	Шунтирование 1-кратное с другими операциями: без HLM	Нет
Bypass 1-fach, mediane Sternotomie: ohne HLM	Шунтирование одностороннее, срединная стернотомия: без HLM	Нет
Bypass 2-fach, mediane Sternotomie: ohne HLM	Шунтирование 2-кратное, срединная стернотомия: без HLM	Нет
Embolektomie	Эмболэктомия	Нет
Extrakardiale Eingriffe ohne HLM	Экстракардиальные вмешательства без УЛМ	Нет
Mitralklappe Rekonstruktion: mediane Sternotomie	Реконструкция митрального клапана: срединная стернотомия	Нет
Mitralklappe Rekonstruktion: minimalinvasiv	Реконструкция митрального клапана: минимально инвазивная	Нет
MKE + TKR: mediane Sternotomie	МКЭ + ТКР: срединная стернотомия	Нет
MKR + TKR: minimalinvasiv	МКР + ТКР: минимально инвазивная	Нет
Perikarddrainage	Дренирование перикарда	Нет
Perikardiotomie	Перикардиотомия	Нет
Pleuradrainage	Плевральный дренаж	Нет
Rethorakotomie	Реторакотомия	Нет
Rethorakotomie mit HLM	Реторакотомия с HLM	Нет
Rethorakotomie ohne HLM	Реторакотомия без УЛМ	Нет
Sonstige Operationen am Herzen ohne HLM	Другие кардиохирургические операции без HLM	Нет
Sonstige Operationen an den Herzklappen: mediane Sternotomie	Другие операции на клапанах сердца: срединная стернотомия	Нет
Sekundärer Thoraxverschluss ohne HLM	Вторичная окклюзия грудной клетки без HLM	Нет
Schrittmacher: Revision 1-Kammer-System ohne HLM	Кардиостимулятор: ревизионная 1-камерная система без HLM	Да
Ersatz der Aorta ascendens suprakoronar mit HLM	Замещение восходящей аорты супракоронарно с HLM	Да
Trikuspidalklappe Rekonstruktion: mediane Sternotomie	Реконструкция трехстворчатого клапана: срединная стернотомия	Нет
Aortenklappe	Аортальный клапан	Да
Sekundärer Thoraxverschluss ohne HLM	Вторичная торакальная окклюзия без HLM	Нет
Extrakorporale Pumpe, uni- oder biventrikulär, Implantation (z.B. Kreisel- oder Zentrifugalpumpe): Implantation ohne HLM-Unterstützung	Имплантация экстракорпорального насоса, уни- или бивентрикулярного (например, центробежного или центробежного насоса): Имплантация без поддержки HLM	Да
LVAD oder RVAD (intra- oder parakorporal): Implantation mit HLM	LVAD или RVAD (интра- или паракорпоральный): Имплантация с HLM	Да
Aortenklappe Kunstprothese: mediane Sternotomie	Искусственный протез аортального клапана: срединная стернотомия	Да
Schrittmacher: Revision 3-Kammer-System ohne HLM	Кардиостимулятор: ревизионная 3-камерная система без HLM	Да
Sternumrevision + Omentumtransposition	Ревизия грудины + транспозиция сальника	Нет